1613414700000,48482.06000000,48563.87000000,48342.22000000,48358.99000000,469.67292100,1613415599999,22767777.16640560,14788,223.20756000,10821431.58023617,0
1613415600000,48361.00000000,48665.09000000,48354.78000000,48597.75000000,586.65701000,1613416499999,28494687.46271620,17191,296.82929100,14415429.74803539,0
1613416500000,48597.75000000,48683.36000000,48465.03000000,48492.28000000,540.90479200,1613417399999,26274074.82470375,14634,214.07495200,10399628.89071199,0
1613417400000,48492.28000000,48640.90000000,48440.81000000,48554.96000000,429.49428400,1613418299999,20839395.44189025,14297,210.81335700,10229395.46104864,0
1613418300000,48554.97000000,48742.52000000,48544.49000000,48657.31000000,388.37228600,1613419199999,18893022.61899692,13460,194.92729600,9482812.60618571,0
1613419200000,48657.31000000,48737.72000000,48555.01000000,48571.07000000,712.74858000,1613420099999,34686517.18696041,14415,275.60191600,13412486.38833723,0
1613420100000,48571.07000000,48801.00000000,48520.12000000,48699.99000000,1108.24096100,1613420999999,53983298.92971931,17135,589.43524500,28716528.51407338,0
1613421000000,48698.10000000,48744.50000000,48601.16000000,48655.51000000,749.81077600,1613421899999,36483293.40343678,15329,424.58755600,20661439.32668609,0
1613421900000,48655.50000000,48750.00000000,48453.87000000,48580.99000000,492.35308200,1613422799999,23922706.62738307,16825,237.46748100,11538028.47170975,0
1613422800000,48581.00000000,48750.00000000,48568.14000000,48590.73000000,405.58813900,1613423699999,19741563.91502470,13350,187.68144600,9134607.86478384,0
1613423700000,48590.73000000,48617.48000000,48212.89000000,48370.71000000,945.08294500,1613424599999,45776423.55520522,30901,485.41246000,23512333.50430361,0
1613424600000,48370.71000000,48599.98000000,48342.85000000,48434.99000000,467.87269400,1613425499999,22694857.87079007,16432,229.57561100,11136959.35135967,0
1613425500000,48434.99000000,48516.92000000,48111.11000000,48207.54000000,948.53897500,1613426399999,45816139.03710318,31360,467.03759900,22561340.09752784,0
1613426400000,48201.18000000,48300.00000000,47643.00000000,48145.77000000,1481.24235600,1613427299999,71036658.66334761,55793,737.01802100,35344632.11503959,0
1613427300000,48145.77000000,48267.78000000,47839.45000000,47874.97000000,556.70201800,1613428199999,26788681.11363898,28213,275.34919000,13253260.04636101,0
1613428200000,47874.97000000,48247.00000000,47865.81000000,48092.52000000,417.92277800,1613429099999,20096369.66633309,21239,212.16256700,10202087.47210008,0
1613429100000,48089.20000000,48334.23000000,48081.42000000,48284.89000000,379.42268900,1613429999999,18282203.11608021,15988,206.21019700,9937105.60539614,0
1613430000000,48284.90000000,48432.73000000,48196.37000000,48385.00000000,453.99512700,1613430899999,21934062.12944720,13178,224.42296800,10842784.58748069,0
1613430900000,48384.99000000,48393.19000000,48189.67000000,48306.72000000,431.29066900,1613431799999,20828658.72872229,12412,220.22037700,10634922.15081430,0
1613431800000,48306.72000000,48381.79000000,48015.00000000,48046.30000000,573.31976100,1613432699999,27612375.22692765,16698,264.01044700,12715105.84755049,0
1613432700000,48046.29000000,48048.60000000,47809.99000000,47911.10000000,646.65831300,1613433599999,31000887.54752899,19321,330.93062700,15866041.71950965,0
1613433600000,47911.10000000,47958.40000000,47414.19000000,47609.90000000,1260.79026500,1613434499999,60123915.33009663,33339,596.98702300,28469692.24303382,0
1613434500000,47609.90000000,47800.00000000,47447.22000000,47640.73000000,672.54388600,1613435399999,32052666.72189300,19316,364.50561800,17372138.37539182,0
